step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.06,3,6.0,,
20.0,-0.34,7,40.0,,
25.0,-0.19999999999999996,9,60.0,,
30.0,-0.5499999999999999,11,115.0,,
35.0,-0.15000000000000013,8,130.0,,
40.0,0.15000000000000013,6,115.0,,
45.0,0.3899999999999999,2,76.0,,
50.0,0.29000000000000004,10,47.0,,
55.0,-0.21999999999999997,9,69.0,,
60.0,0.029999999999999916,5,66.0,,
65.0,0.12,3,54.0,,
70.0,-0.10999999999999999,9,65.0,,
75.0,-0.22999999999999998,7,88.0,,
80.0,-0.020000000000000018,5,90.0,,
85.0,0.38,2,52.0,,
90.0,0.050000000000000044,12,47.0,,
95.0,-0.6000000000000001,16,107.0,,
100.0,-0.9299999999999999,20,200.0,,
105.0,-0.54,17,254.0,,
110.0,0.08000000000000007,10,246.0,,
115.0,0.06000000000000005,9,240.0,,
120.0,-0.1299999999999999,14,253.0,,
125.0,-0.3400000000000003,17,287.0,,
130.0,0.08000000000000007,13,279.0,,
135.0,0.4900000000000002,6,230.0,,
140.0,0.6099999999999999,10,169.0,,
145.0,0.020000000000000018,9,167.0,,
150.0,0.09999999999999987,9,157.0,,
155.0,0.3500000000000001,5,122.0,,
160.0,0.29999999999999993,9,92.0,,
165.0,-0.5599999999999999,14,148.0,,
170.0,-0.52,17,200.0,,
175.0,-0.22999999999999998,10,223.0,,
180.0,-0.020000000000000018,9,225.0,,
185.0,-0.69,17,294.0,,
190.0,-0.6499999999999999,19,359.0,,
195.0,-0.18999999999999995,15,378.0,,
200.0,0.5299999999999998,10,325.0,,
205.0,1.21,11,204.0,,
210.0,0.17999999999999994,16,186.0,,
215.0,-0.47,17,233.0,,
220.0,-0.06000000000000005,12,239.0,,
225.0,0.33000000000000007,5,206.0,,
230.0,0.10000000000000009,13,196.0,,
235.0,-0.33000000000000007,13,229.0,,
240.0,0.16999999999999993,11,212.0,,
245.0,-0.21999999999999975,8,234.0,,
250.0,-0.5900000000000003,14,293.0,,
