step_time,reward,total_stopped,total_wait_time,terminal_observation
5.0,0.0,0,0.0,
10.0,0.0,0,0.0,
15.0,-0.02,1,2.0,
20.0,-0.37,9,39.0,
25.0,-0.28,7,67.0,
30.0,-0.30999999999999994,8,98.0,
35.0,0.06999999999999995,4,91.0,
40.0,-0.020000000000000018,9,93.0,
45.0,-0.31999999999999995,7,125.0,
50.0,-0.19999999999999996,7,145.0,
55.0,0.020000000000000018,8,143.0,
60.0,-0.18000000000000016,12,161.0,
65.0,-0.31999999999999984,9,193.0,
70.0,-0.030000000000000027,7,196.0,
75.0,0.11999999999999988,5,184.0,
80.0,-0.06999999999999984,12,191.0,
85.0,-0.32000000000000006,9,223.0,
90.0,-0.2999999999999998,13,253.0,
95.0,-0.10000000000000009,10,263.0,
100.0,-0.20999999999999996,14,284.0,
105.0,-0.43999999999999995,11,328.0,
110.0,-0.2100000000000004,8,349.0,
115.0,0.06000000000000005,10,343.0,
120.0,-0.11999999999999966,15,355.0,
125.0,-0.5,14,405.0,
130.0,-0.21999999999999975,11,427.0,
135.0,-0.10000000000000053,10,437.0,
140.0,-0.4299999999999997,16,480.0,
145.0,-0.45999999999999996,15,526.0,
150.0,-0.1200000000000001,10,538.0,
155.0,0.09999999999999964,10,528.0,
160.0,-0.5899999999999999,21,587.0,
165.0,-0.6799999999999997,19,655.0,
170.0,-0.08000000000000007,14,663.0,
175.0,2.67,8,396.0,
180.0,1.4899999999999998,14,247.0,
185.0,-0.5099999999999998,16,298.0,
190.0,-0.1499999999999999,11,313.0,
195.0,0.48999999999999977,10,264.0,
200.0,0.6800000000000002,13,196.0,
205.0,-0.27,15,223.0,
210.0,-0.16000000000000014,13,239.0,
215.0,-0.06000000000000005,10,245.0,
220.0,0.010000000000000231,8,244.0,
225.0,-0.040000000000000036,12,248.0,
230.0,-0.3900000000000001,13,287.0,
235.0,-0.3599999999999999,14,323.0,
240.0,0.6800000000000002,10,255.0,
245.0,0.8599999999999999,14,169.0,
250.0,-0.18999999999999995,14,188.0,
255.0,-0.1499999999999999,11,203.0,
260.0,0.11999999999999988,6,191.0,
