step_time,reward,total_stopped,total_wait_time,terminal_observation
5.0,0.0,0,0.0,
10.0,0.0,0,0.0,
15.0,-0.05,3,5.0,
20.0,-0.31,7,36.0,
25.0,-0.18000000000000005,6,54.0,
30.0,-0.24,6,78.0,
35.0,0.13,3,65.0,
40.0,-0.12,7,77.0,
45.0,-0.10999999999999999,3,88.0,
50.0,0.14,2,74.0,
55.0,-0.30000000000000004,7,104.0,
60.0,-0.55,12,159.0,
65.0,-0.2999999999999998,6,189.0,
70.0,-0.010000000000000009,6,190.0,
75.0,0.16999999999999993,6,173.0,
80.0,-0.040000000000000036,11,177.0,
85.0,-0.2799999999999998,7,205.0,
90.0,-0.29000000000000004,12,234.0,
95.0,-0.16999999999999993,10,251.0,
100.0,-0.5,16,301.0,
105.0,-0.4400000000000004,10,345.0,
110.0,-0.1299999999999999,9,358.0,
115.0,0.050000000000000266,10,353.0,
120.0,-0.1200000000000001,15,365.0,
125.0,-0.4600000000000004,13,411.0,
130.0,-0.16999999999999993,12,428.0,
135.0,0.08999999999999986,9,419.0,
140.0,-0.33999999999999986,13,453.0,
145.0,-0.4500000000000002,11,498.0,
150.0,-0.13999999999999968,9,512.0,
155.0,0.23000000000000043,8,489.0,
160.0,-0.4400000000000004,17,533.0,
165.0,-0.6200000000000001,17,595.0,
170.0,-0.8799999999999999,21,683.0,
175.0,-0.47999999999999954,17,731.0,
180.0,0.15999999999999925,9,715.0,
185.0,3.1000000000000005,3,405.0,
190.0,2.15,10,190.0,
195.0,-0.1299999999999999,14,203.0,
200.0,0.30999999999999983,12,172.0,
205.0,0.0,6,172.0,
210.0,-0.25,12,197.0,
215.0,-0.13000000000000012,11,210.0,
220.0,0.29000000000000004,10,181.0,
225.0,0.28,3,153.0,
230.0,0.20999999999999996,10,132.0,
235.0,-0.41999999999999993,14,174.0,
240.0,-0.020000000000000018,12,176.0,
245.0,-0.020000000000000018,10,178.0,
250.0,0.16999999999999993,6,161.0,
255.0,0.08000000000000007,11,153.0,
260.0,-0.3999999999999999,15,193.0,
265.0,-0.13000000000000012,9,206.0,
