step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.09,5,9.0,,
20.0,-0.4,8,49.0,,
25.0,-0.4,8,89.0,,
30.0,-0.4899999999999999,10,138.0,,
35.0,-0.5,10,188.0,,
40.0,-0.5300000000000002,11,241.0,,
45.0,0.06000000000000005,8,235.0,,
50.0,0.0,14,235.0,,
55.0,-0.48,10,283.0,,
60.0,-0.41000000000000014,11,324.0,,
65.0,-0.5999999999999996,12,384.0,,
70.0,-0.6000000000000005,12,444.0,,
75.0,0.6200000000000006,8,382.0,,
80.0,1.3599999999999999,6,246.0,,
85.0,0.6699999999999999,7,179.0,,
90.0,0.89,14,90.0,,
95.0,-0.64,14,154.0,,
100.0,-0.3799999999999999,14,192.0,,
105.0,0.32999999999999985,8,159.0,,
110.0,-0.05999999999999983,10,165.0,,
115.0,-0.4900000000000002,10,214.0,,
120.0,-0.5099999999999998,11,265.0,,
125.0,-0.7200000000000002,16,337.0,,
130.0,-0.7999999999999998,16,417.0,,
135.0,0.13999999999999968,12,403.0,,
140.0,0.7800000000000002,10,325.0,,
145.0,0.9700000000000002,6,228.0,,
150.0,1.1799999999999997,10,110.0,,
155.0,-0.27,8,137.0,,
160.0,-0.05999999999999983,11,143.0,,
165.0,-0.5999999999999999,14,203.0,,
170.0,-0.7400000000000002,16,277.0,,
175.0,-0.08000000000000007,10,285.0,,
180.0,0.43999999999999995,9,241.0,,
185.0,-0.16999999999999993,14,258.0,,
190.0,-0.7799999999999998,17,336.0,,
195.0,0.3899999999999997,16,297.0,,
200.0,0.6400000000000001,16,233.0,,
205.0,-0.3999999999999999,15,273.0,,
210.0,0.04999999999999982,12,268.0,,
215.0,-0.009999999999999787,12,269.0,,
220.0,0.25,9,244.0,,
225.0,0.74,10,170.0,,
230.0,-0.050000000000000044,13,175.0,,
235.0,-0.4700000000000002,20,222.0,,
240.0,-0.5799999999999996,19,280.0,,
245.0,0.16999999999999993,10,263.0,,
250.0,0.13999999999999968,10,249.0,,
255.0,0.43000000000000016,7,206.0,,
