step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.01,1,1.0,,
20.0,-0.29,6,30.0,,
25.0,-0.33,8,63.0,,
30.0,-0.24,10,87.0,,
35.0,-0.5299999999999999,12,140.0,,
40.0,-0.19000000000000017,10,159.0,,
45.0,-0.31999999999999984,14,191.0,,
50.0,-0.7100000000000002,15,262.0,,
55.0,-0.9099999999999997,22,353.0,,
60.0,-1.1,22,463.0,,
65.0,-1.2700000000000005,26,590.0,,
70.0,-0.15999999999999925,22,606.0,,
75.0,0.8399999999999999,16,522.0,,
80.0,-0.020000000000000462,8,524.0,,
85.0,0.10000000000000053,10,514.0,,
90.0,0.1999999999999993,14,494.0,,
95.0,1.0100000000000002,11,393.0,,
100.0,1.2400000000000002,10,269.0,,
105.0,0.5099999999999998,8,218.0,,
110.0,0.020000000000000018,10,216.0,,
115.0,-0.3899999999999997,10,255.0,,
120.0,-0.4900000000000002,12,304.0,,
125.0,-0.6400000000000001,15,368.0,,
130.0,-0.7899999999999996,17,447.0,,
135.0,-0.8700000000000001,18,534.0,,
140.0,-0.9000000000000004,18,624.0,,
145.0,-0.9399999999999995,20,718.0,,
150.0,-1.0,20,818.0,,
155.0,-1.0300000000000011,22,921.0,,
160.0,-1.2799999999999994,28,1049.0,,
165.0,-1.4000000000000004,28,1189.0,,
170.0,-1.4900000000000002,30,1338.0,,
175.0,-1.5,30,1488.0,,
180.0,-1.589999999999998,32,1647.0,,
185.0,-1.6000000000000014,32,1807.0,,
190.0,-0.259999999999998,29,1833.0,,
195.0,0.4599999999999973,29,1787.0,,
200.0,-0.9899999999999984,29,1886.0,,
205.0,-1.5399999999999991,33,2040.0,,
210.0,-1.0200000000000031,28,2142.0,,
215.0,-1.3699999999999974,34,2279.0,,
220.0,-1.4800000000000004,30,2427.0,,
225.0,-1.4000000000000021,32,2567.0,,
230.0,-1.629999999999999,34,2730.0,,
235.0,-1.8599999999999994,40,2916.0,,
240.0,-1.8000000000000007,36,3096.0,,
