step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.05,4,5.0,,
20.0,-0.25,6,30.0,,
25.0,-0.35000000000000003,7,65.0,,
30.0,-0.20999999999999996,9,86.0,,
35.0,-0.43000000000000005,10,129.0,,
40.0,-0.24,8,153.0,,
45.0,0.1200000000000001,5,141.0,,
50.0,0.5199999999999999,3,89.0,,
55.0,0.27,10,62.0,,
60.0,-0.62,14,124.0,,
65.0,-0.7899999999999998,17,203.0,,
70.0,-0.41000000000000014,13,244.0,,
75.0,0.25,8,219.0,,
80.0,-0.2200000000000002,9,241.0,,
85.0,-0.5999999999999996,17,301.0,,
90.0,-1.1000000000000005,25,411.0,,
95.0,-0.33000000000000007,25,444.0,,
100.0,0.16000000000000014,23,428.0,,
105.0,-0.6399999999999997,26,492.0,,
110.0,-1.0700000000000003,28,599.0,,
115.0,-1.5899999999999999,33,758.0,,
120.0,-1.0299999999999994,28,861.0,,
125.0,-1.0600000000000005,34,967.0,,
130.0,-0.3699999999999992,30,1004.0,,
135.0,0.879999999999999,25,916.0,,
140.0,-0.379999999999999,19,954.0,,
145.0,-0.9300000000000015,17,1047.0,,
150.0,-0.8199999999999985,18,1129.0,,
155.0,-1.1000000000000014,24,1239.0,,
160.0,-0.6999999999999993,30,1309.0,,
165.0,-1.040000000000001,37,1413.0,,
170.0,-0.379999999999999,36,1451.0,,
175.0,1.4000000000000004,27,1311.0,,
180.0,-0.370000000000001,20,1348.0,,
185.0,-0.9900000000000002,19,1447.0,,
190.0,0.620000000000001,16,1385.0,,
195.0,2.17,13,1168.0,,
200.0,-0.1899999999999995,19,1187.0,,
205.0,-1.0100000000000016,22,1288.0,,
210.0,-0.25,22,1313.0,,
215.0,0.22000000000000064,25,1291.0,,
220.0,-1.3900000000000006,35,1430.0,,
225.0,-2.0500000000000007,45,1635.0,,
230.0,-1.7899999999999991,44,1814.0,,
235.0,-2.0700000000000003,48,2021.0,,
240.0,-1.4499999999999993,42,2166.0,,
245.0,-1.0199999999999996,42,2268.0,,
