step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.04,2,4.0,,
20.0,-0.32,7,36.0,,
25.0,-0.12,4,48.0,,
30.0,-0.21999999999999997,6,70.0,,
35.0,-0.33000000000000007,8,103.0,,
40.0,-0.55,13,158.0,,
45.0,-0.020000000000000018,10,160.0,,
50.0,-0.05999999999999983,12,166.0,,
55.0,0.0,17,166.0,,
60.0,-0.9200000000000002,19,258.0,,
65.0,-0.46999999999999975,19,305.0,,
70.0,0.3599999999999999,9,269.0,,
75.0,0.46999999999999975,6,222.0,,
80.0,-0.1299999999999999,10,235.0,,
85.0,0.06000000000000005,12,229.0,,
90.0,-0.31000000000000005,21,260.0,,
95.0,-1.0099999999999998,25,361.0,,
100.0,-1.2600000000000002,26,487.0,,
105.0,-1.1799999999999997,28,605.0,,
110.0,-1.4699999999999998,30,752.0,,
115.0,-1.0600000000000005,29,858.0,,
120.0,-1.0999999999999996,30,968.0,,
125.0,-1.5999999999999996,33,1128.0,,
130.0,-1.6600000000000001,34,1294.0,,
135.0,-1.8200000000000003,37,1476.0,,
140.0,-1.8899999999999988,38,1665.0,,
145.0,-1.9000000000000021,38,1855.0,,
150.0,0.019999999999999574,32,1853.0,,
155.0,1.9500000000000028,22,1658.0,,
160.0,-0.240000000000002,21,1682.0,,
165.0,-0.9899999999999984,19,1781.0,,
170.0,-0.7300000000000004,19,1854.0,,
175.0,-1.1999999999999993,27,1974.0,,
180.0,-1.0500000000000007,30,2079.0,,
185.0,-1.4400000000000013,41,2223.0,,
190.0,-2.09,42,2432.0,,
195.0,-2.129999999999999,44,2645.0,,
200.0,-2.330000000000002,47,2878.0,,
205.0,-2.349999999999998,47,3113.0,,
210.0,-1.5700000000000038,43,3270.0,,
215.0,-1.2399999999999949,41,3394.0,,
220.0,-1.9600000000000009,41,3590.0,,
225.0,-2.0500000000000043,41,3795.0,,
230.0,-2.0700000000000003,42,4002.0,,
235.0,0.7900000000000063,41,3923.0,,
240.0,3.8499999999999943,32,3538.0,,
